#{"t_start": 1760363941.1958025, "env_id": "LunarLander-v3"}
r,l,t
-58.299454,80,138.662563
-135.293492,102,138.775364
-109.457936,1000,139.334136
-37.595037,1000,139.920845
-119.859907,1000,140.524338
-40.014652,1000,141.15197
-79.862368,1000,141.810956
-85.690647,104,141.99629
-67.369143,66,142.091413
-160.405103,102,142.202059
-236.395552,107,142.318526
-194.783925,95,142.42204
-53.003343,81,142.513676
-90.229395,70,142.591861
-139.080514,70,142.665022
-81.413357,104,142.775377
-136.790161,126,142.926022
-29.2358,68,142.99912
-67.211434,79,143.096685
-415.857557,92,143.197243
-92.274041,78,143.286859
-130.114612,85,143.373759
-125.189582,87,143.466233
-40.902236,117,143.589587
-96.482306,83,143.688102
-123.939789,88,143.785283
-138.013523,82,143.877697
-80.481936,88,143.973722
-64.97493,109,144.106784
-133.24767,80,144.202362
-110.740483,93,144.299233
-101.40736,87,144.389651
-200.409955,97,144.498872
-81.913416,132,144.640377
-112.831317,76,144.726377
-57.928151,86,144.816825
-131.937726,119,144.947639
-89.828181,95,145.045344
-119.398927,121,145.191518
-61.000897,78,145.27507
-188.514895,121,145.407641
30.115004,118,145.529488
-55.915958,79,145.613613
-97.706728,89,145.701763
-111.271823,116,145.825817
-108.781703,93,145.934047
-277.234878,157,146.100568
-46.309319,76,146.202277
-127.871955,125,146.350698
-125.402397,97,146.458585
-92.349179,97,146.565061
-79.775034,78,146.649405
-90.715605,95,146.753283
-79.325895,65,146.821515
-188.655579,122,146.95044
-127.082857,89,147.043911
-179.913883,87,147.146822
-75.952061,126,147.292966
-105.244037,100,147.395367
-145.955249,97,147.495615
-121.562883,94,147.599356
-66.22964,87,147.691532
-42.992367,109,147.799812
-115.688047,73,147.876866
-145.230403,108,147.990482
-90.307735,71,148.063827
-169.171054,68,148.137845
-127.75552,111,148.272988
-83.102945,118,148.403502
-117.835507,138,148.550413
-80.180125,108,148.659209
-80.750833,126,148.78545
-58.240504,144,148.933375
-201.729009,101,149.031955
-118.678235,102,149.142661
-78.692756,99,149.248399
-44.221791,75,149.343429
-83.887776,101,149.448433
-120.725853,116,149.575438
-86.963121,110,149.696733
-129.516027,94,149.806913
